                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                             Generated by UCC v.2014.08f on 10 17 2015                             
                        GUCC -outdir D:\Development\ucc_2014.08zf\count_out                        

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
1,0,0,23,21,7,0,46,0,2,2,0,0,0,D:\Development\GitHub\Space_Invaders\source\game.js
684,119,8,5825,6617,6559,0,21061,0,180,20,0,0,0,D:\Development\GitHub\Space_Invaders\source\phaser.js
350,81,6,910,1687,234,0,2124,0,155,237,50,29,1,D:\Development\GitHub\Space_Invaders\source\phaser.min.js

Totals
1035,200,14,6758,8325,6800,0,23231,0

                         TOTAL OCCURRENCES OF JavaScript COMPLEXITY COUNTS                         
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
abs,88,acos,2,log,14,+,3132,case,97,==,2354,,,=,23231
ceil,52,asin,3,,,-,1372,else,1183,===,1732,,,,
exp,0,atan,0,,,*,1617,else if,380,!=,499,,,,
floor,166,atan2,32,,,/,574,for,1177,!==,451,,,,
max,220,cos,80,,,%,61,if,5042,>,655,,,,
min,208,sin,83,,,++,2,switch,17,<,966,,,,
pow,83,tan,0,,,--,0,while,114,>=,143,,,,
random,53,,,,,,,?,315,=<,0,,,,
round,91,,,,,,,,,,,,,,
sqrt,74,,,,,,,,,,,,,,
