                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                             Generated by UCC v.2014.08f on 10 17 2015                             
                        GUCC -outdir D:\Development\ucc_2014.08zf\count_out                        

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
14,15,14,2.33333,Low,D:\Development\GitHub\Space_Invaders\source\game.js
7394,9049,7332,2.79441,Low,D:\Development\GitHub\Space_Invaders\source\phaser.js
1470,1687,1452,105,Very High,D:\Development\GitHub\Space_Invaders\source\phaser.min.js

8878,10751,8798,3.33008

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,main,D:\Development\GitHub\Space_Invaders\source\game.js
1,1,1,Low,preload,D:\Development\GitHub\Space_Invaders\source\game.js
7,8,7,Low,update,D:\Development\GitHub\Space_Invaders\source\game.js
3,3,3,Low,ballHitCursor,D:\Development\GitHub\Space_Invaders\source\game.js
1,1,1,Low,ballHitBrick,D:\Development\GitHub\Space_Invaders\source\game.js
1,1,1,Low,createBall,D:\Development\GitHub\Space_Invaders\source\game.js
3,3,3,Low,main,D:\Development\GitHub\Space_Invaders\source\phaser.js
8,8,8,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Line,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Line.lineInt,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,5,2,Low,Line.segmentsIntersect,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point.area,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point.left,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point.leftOn,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point.right,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point.rightOn,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Point.collinear,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Point.sqdist,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Polygon,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Polygon.prototype.at,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Polygon.prototype.first,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Polygon.prototype.last,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Polygon.prototype.clear,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,7,7,Low,Polygon.prototype.append,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,6,4,Low,Polygon.prototype.makeCCW,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Polygon.prototype.reverse,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Polygon.prototype.isReflex,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,9,6,Low,Polygon.prototype.canSee,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,Polygon.prototype.copy,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,7,7,Low,Polygon.prototype.getCutEdges,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Polygon.prototype.decomp,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,12,7,Low,Polygon.prototype.slice,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,6,6,Low,Polygon.prototype.isSimple,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,getIntersectionPoint,D:\Development\GitHub\Space_Invaders\source\phaser.js
26,34,26,High,Polygon.prototype.quickDecomp,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,Polygon.prototype.removeCollinearPoints,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Scalar,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,Scalar.eq,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,5,3,Low,AABB,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,10,10,Low,AABB.prototype.setFromPoints,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,AABB.prototype.copy,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,AABB.prototype.extend,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,8,1,Low,AABB.prototype.overlaps,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,4,1,Low,AABB.prototype.containsPoint,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,AABB.prototype.overlapsRay,D:\Development\GitHub\Space_Invaders\source\phaser.js
